SCF Energies (Hartree):
Step 1: -3779.892166
Step 2: -3779.949530
Step 3: -3780.022843
Step 4: -3780.051209
Step 5: -3780.080571
Step 6: -3780.099013
Step 7: -3780.117395
Step 8: -3780.131914
Step 9: -3780.147353
Step 10: -3780.159411
Step 11: -3780.162522
Step 12: -3780.163262
Step 13: -3780.161105
Step 14: -3780.163823
Step 15: -3780.163916
Step 16: -3780.164510
Step 17: -3780.164797
Step 18: -3780.165383
Step 19: -3780.165462
Step 20: -3780.165926
Step 21: -3780.166071
Step 22: -3780.166168
Step 23: -3780.166237
Step 24: -3780.166315
Step 25: -3780.166315
Step 26: -3779.812812
Step 27: -3780.197233
Step 28: -3780.166315
Step 29: -3780.166315
Step 30: -3780.166315
