Final Optimized Geometry (Angstroms):
Atom    X           Y           Z
----------------------------------------
   5    0.001053   0.008027  -0.249737
   8   -0.899582  -0.803130   0.626383
   8    0.938492  -0.727359  -1.092766
   8   -0.938003   0.774108  -1.063347
   8    0.902452   0.783714   0.655460
   6    2.204191   0.718343   0.200613
   6    2.212547  -0.675167  -0.587738
   6   -2.201156  -0.722093   0.173232
   6   -2.212070   0.699880  -0.561495
   6   -3.215557  -0.902914   1.359573
   6   -2.389091  -1.917750  -0.816044
   6   -2.393029   1.919264   0.427734
   6   -3.214754   0.906714  -1.725155
   6    3.215985  -0.841151  -1.757137
   6    2.386641  -1.931433   0.354573
   6    3.218101   0.853940   1.395389
   6    2.393040   1.948136  -0.745723
   9    3.164902  -2.108357  -2.201475
   9    2.920353  -0.046671  -2.783105
   9    4.472565  -0.585464  -1.371278
   9    3.633328  -2.397075   0.428426
   9    1.608050  -2.921764  -0.075049
   9    1.981355  -1.629024   1.614668
   9    3.645665   2.046179  -1.210819
   9    2.092457   3.073340  -0.083307
   9    1.554255   1.878598  -1.780354
   9    2.586657   0.715057   2.573651
   9    3.828344   2.041693   1.425291
   9    4.177868  -0.074514   1.330479
   9   -2.587869  -0.793910   2.543256
   9   -4.185223   0.016944   1.317428
   9   -3.811288  -2.098231   1.352802
   9   -2.086779  -3.065294  -0.193769
   9   -3.643193  -1.999394  -1.279897
   9   -1.551509  -1.812524  -1.848729
   9   -4.473016   0.646424  -1.347879
   9   -2.924278   0.142210  -2.775173
   9   -3.156023   2.186012  -2.131211
   9   -1.615326   2.927131   0.037698
   9   -1.992461   1.574511   1.677246
   9   -3.642125   2.377230   0.512600
  19   -0.001664  -0.075336   3.176443
