SCF Energies (Hartree):
Step 1: -3780.136679
Step 2: -3780.138166
Step 3: -3780.136461
Step 4: -3780.138591
Step 5: -3780.139001
Step 6: -3780.138448
Step 7: -3780.139409
Step 8: -3780.139072
Step 9: -3780.139668
Step 10: -3780.140518
Step 11: -3780.140615
Step 12: -3780.140842
Step 13: -3780.140972
Step 14: -3780.141033
Step 15: -3780.141085
Step 16: -3780.141115
Step 17: -3780.141141
Step 18: -3780.141160
Step 19: -3780.141172
Step 20: -3780.141181
Step 21: -3780.141188
Step 22: -3780.141194
Step 23: -3780.141199
Step 24: -3780.141199
Step 25: -3779.736694
Step 26: -3780.155827
Step 27: -3780.141199
Step 28: -3780.141199
