Final Optimized Geometry (Angstroms):
Atom    X           Y           Z
----------------------------------------
   5    0.000091   0.000197  -0.307615
   8   -0.891433  -0.806883   0.598826
   8    0.946959  -0.743042  -1.115073
   8   -0.947019   0.744509  -1.113841
   8    0.891882   0.806046   0.599598
   6    2.202480   0.716631   0.169809
   6    2.205549  -0.698667  -0.575350
   6   -2.202104  -0.716880   0.169428
   6   -2.205631   0.699295  -0.574203
   6   -3.192732  -0.881849   1.380423
   6   -2.421403  -1.916526  -0.807626
   6   -2.326783   1.924579   0.415553
   6   -3.243905   0.916036  -1.703580
   6    3.243663  -0.914310  -1.704919
   6    2.326506  -1.924863   0.413378
   6    3.193296   0.880039   1.380960
   6    2.421312   1.917795  -0.805464
   9    3.192587  -2.190759  -2.111496
   9    2.994637  -0.140089  -2.754987
   9    4.488478  -0.661625  -1.272664
   9    3.558760  -2.406944   0.553336
   9    1.541884  -2.913400   0.010590
   9    1.886090  -1.559905   1.660778
   9    3.683909   1.981763  -1.249595
   9    2.134647   3.059583  -0.164556
   9    1.596570   1.834508  -1.844903
   9    2.513752   0.833046   2.557913
   9    3.843787   2.041368   1.374449
   9    4.110610  -0.086511   1.416572
   9   -2.514124  -0.830978   2.557788
   9   -4.113424   0.081416   1.413991
   9   -3.839024  -2.045604   1.375476
   9   -2.135550  -3.059650  -0.168883
   9   -3.684117  -1.978588  -1.251816
   9   -1.596481  -1.832312  -1.846854
   9   -4.488624   0.661783  -1.272129
   9   -2.994387   0.143905  -2.755041
   9   -3.193662   2.193244  -2.107949
   9   -1.543946   2.914440   0.012553
   9   -1.884456   1.559145   1.662006
   9   -3.559420   2.405150   0.557628
  19    0.000446  -0.002136   2.950614
